Period_unique,Cam,Period,Duration_sec,start_datetime,end_datetime,year,mast,logged
AG19.15.1,AG19,1,8628900,6/1/2015 12:20,9/9/2015 9:15,2015,1,0
AG19.16.1,AG19,1,3216000,5/8/2016 9:10,6/14/2016 14:30,2016,0,0
AG19.18.1,AG19,1,5704680,6/21/2018 11:14,8/26/2018 11:52,2018,0,0
AG19.18.2,AG19,2,764340,9/11/2018 12:11,9/20/2018 8:30,2018,0,0
AG19.19.1,AG19,1,74520,5/24/2019 11:48,5/25/2019 8:30,2019,1,0
AG19.19.2,AG19,2,75660,6/12/2019 11:29,6/13/2019 8:30,2019,1,0
AG19.19.3,AG19,3,855000,6/26/2019 11:00,7/6/2019 8:30,2019,1,0
AG19.19.4,AG19,4,424020,7/10/2019 10:43,7/15/2019 8:30,2019,1,0
AG19.19.5,AG19,5,1388220,7/24/2019 9:30,8/9/2019 11:07,2019,1,0
AG19.20.1,AG19,1,3792960,7/23/2020 12:43,9/5/2020 10:19,2020,0,0
AG20.13.1,AG20,1,5635680,6/17/2013 9:32,8/21/2013 15:00,2013,0,0
AG20.14.1,AG20,1,7693560,6/11/2014 16:05,9/8/2014 17:11,2014,1,0
AG20.15.1,AG20,1,8994420,6/2/2015 14:03,9/14/2015 16:30,2015,1,0
AG20.16.1,AG20,1,6821400,8/8/2016 10:15,10/26/2016 9:05,2016,0,0
AG20.18.1,AG20,1,2241300,7/11/2018 9:55,8/6/2018 8:30,2018,0,0
AG20.18.2,AG20,2,0,8/11/2018 10:02,8/11/2018 10:02,2018,0,0
AG20.18.3,AG20,3,53220,10/3/2018 17:43,10/4/2018 8:30,2018,0,0
AG20.19.1,AG20,1,5605980,5/25/2019 11:17,7/29/2019 8:30,2019,1,0
AG20.20.1,AG20,1,3806400,6/8/2020 10:20,7/22/2020 11:40,2020,0,0
AG21.13.1,AG21,1,5626680,6/17/2013 11:32,8/21/2013 14:30,2013,0,0
AG21.14.1,AG21,1,8809200,6/8/2014 11:00,9/18/2014 10:00,2014,1,0
